annex2_code,field_name,canonical_field,required_status,applicability,expected_source,expected_rule,actual_rule,actual_output,xsd_result,operations_control_result,root_cause,recommended_action
RREL23,Origination Date,origination_date,Analytics (ND allowed),applicable; source column already mapped,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL24,Maturity Date,maturity_date,Mandatory (ND allowed),applicable; source column already mapped,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL28,Currency Denomination,exposure_currency_denomination,Mandatory (no ND),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL29,Original Principal Balance,original_principal_balance,Analytics (ND allowed),applicable; source column already mapped,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL3,New Underlying Exposure Identifier,new_underlying_exposure_identifier,Mandatory (no ND),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL30,Current Principal Balance,current_principal_balance,Mandatory (ND allowed),applicable; source column already mapped,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL33,Total Credit Limit,total_credit_limit,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL34,Purchase Price,purchase_price,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL36,Principal Grace Period End Date,principal_grace_period_end_date,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL39,Payment Due,payment_due,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL4,Original Obligor Identifier,original_obligor_identifier,Mandatory (no ND),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL43,Current Interest Rate,current_interest_rate,Mandatory (ND allowed),applicable; source column already mapped,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL46,Current Interest Rate Margin,current_interest_rate_margin,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL47,Interest Rate Reset Interval,interest_rate_reset_interval,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL48,Interest Rate Cap,interest_rate_cap,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL49,Interest Rate Floor,interest_rate_floor,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL5,New Obligor Identifier,new_obligor_identifier,Mandatory (no ND),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL61,Prepayment Fee,prepayment_fee,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL67,Arrears Balance,arrears_balance,Mandatory (no ND),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL68,Number Of Days In Arrears,number_of_days_in_arrears,Mandatory (no ND),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL7,Pool Addition Date,pool_addition_date,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL71,Default Amount,default_amount,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL73,Allocated Losses,allocated_losses,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL74,Cumulative Recoveries,cumulative_recoveries,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL77,Deposit Amount,deposit_amount,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL8,Date Of Repurchase,date_of_repurchase,Mandatory (ND allowed),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL82,Originator Name,originator_name,Mandatory (no ND),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
RREL84,Originator Establishment Country,originator_establishment_country,Mandatory (no ND),applicable,fields_registry.yaml regime_mapping -> regime_projector,field_rules entry in config/regime/annex2_delivery_rules.yaml,none (68 of 107 codes have rules; RREC22 deferred),"present in reproduced XSD-valid delivery output (105 cols, 11,035 records)","document-level XSD PASSED on proven path (reproduced: 'XSD valid', 105 fields)",not reached - onboarding NEEDS_CONFIGURATION gate parks the workflow before projection,no field_rules entry in config/regime/annex2_delivery_rules.yaml — a contract requirement of the NEW agentic chain's onboarding gate only; the proven XML path populates this code from fields_registry regime_mapping,add field_rules entry (or defer via reconciliation_scope) in annex2_delivery_rules.yaml [approval-gated existing-file change]
