esma_code,canonical_field,current_blocker_type,issue_group,affected_rows,preview_required,production_required,recommended_preview_treatment,recommended_production_treatment,owner,risk_level,reason
RREL26,origination_channel,config_dependency,config_mapping,1526,yes,yes,must_resolve,must_resolve,config_policy,medium,Origination channel (LIST). Add the enum mapping in config.
RREL27,purpose,config_dependency,config_mapping,1526,yes,yes,must_resolve,must_resolve,config_policy,medium,Purpose (LIST). Add the purpose enum mapping in config (like RREL35).
RREL44,current_interest_rate_index,config_dependency,config_mapping,1526,yes,yes,must_resolve,must_resolve,config_policy,medium,Current interest rate index (LIST). Add the index enum mapping in config.
RREL45,current_interest_rate_index_tenor,config_dependency,config_mapping,1526,yes,yes,must_resolve,must_resolve,config_policy,medium,Current interest rate index tenor (LIST). Add the tenor enum mapping in config.
RREL75,litigation,config_dependency,config_mapping,1526,yes,yes,must_resolve,must_resolve,config_policy,low,Litigation (Y/N). Add the boolean mapping in config.
RREC2,underlying_exposure_identifier,source_mapping_unresolved,source_projection,1526,yes,yes,synthetic_placeholder_for_demo_only,must_resolve,projection,high,Underlying-exposure identifier on the collateral record (no ND). Preview placeholder derived from the loan key (demo-only); production needs the confirmed projection/source mapping.
RREC3,original_collateral_identifier,source_mapping_unresolved,source_projection,1526,yes,yes,synthetic_placeholder_for_demo_only,must_resolve,projection,high,Original collateral identifier (no ND). Preview placeholder only.
RREC4,new_collateral_identifier,source_mapping_unresolved,source_projection,1526,yes,yes,synthetic_placeholder_for_demo_only,must_resolve,projection,high,New collateral identifier (no ND). Preview placeholder only.
RREC5,collateral_type,source_mapping_unresolved,source_projection,1526,yes,yes,must_resolve,must_resolve,projection,medium,"Collateral type (LIST, no ND). Add the enum mapping; ALSO missing from esma_code_order (see template_order)."
RREL3,new_underlying_exposure_identifier,source_mapping_unresolved,source_projection,1526,yes,yes,synthetic_placeholder_for_demo_only,must_resolve,projection,high,New underlying-exposure identifier (no ND). Preview placeholder only.
RREL4,original_obligor_identifier,source_mapping_unresolved,source_projection,1526,yes,yes,synthetic_placeholder_for_demo_only,must_resolve,projection,high,Original obligor identifier (no ND). Preview placeholder only; ALSO missing from esma_code_order (see template_order).
RREL5,new_obligor_identifier,source_mapping_unresolved,source_projection,1526,yes,yes,synthetic_placeholder_for_demo_only,must_resolve,projection,high,New obligor identifier (no ND). Preview placeholder only.
RREL67,arrears_balance,source_mapping_unresolved,source_projection,1526,yes,yes,must_resolve,must_resolve,projection,medium,"Arrears balance (MONETARY, no ND). Confirm the source/derivation; do not fabricate. ALSO missing from esma_code_order."
RREL68,number_of_days_in_arrears,source_mapping_unresolved,source_projection,1526,yes,yes,must_resolve,must_resolve,projection,medium,"Number of days in arrears (INTEGER, no ND). Confirm the source/derivation. ALSO missing from esma_code_order."
RREL84,originator_establishment_country,source_mapping_unresolved,source_projection,1526,yes,yes,must_resolve,must_resolve,config_policy,low,"Originator establishment country (COUNTRYCODE_2, no ND). Likely known (GB) via client/config; supply explicitly, do not guess."
RREL82,originator_name,nd_default_rule_missing,nd_default,1526,yes,yes,must_resolve,must_resolve,config_policy,medium,"Originator name (ALPHANUM-100, no ND). 'nd_default_rule_missing' is a misnomer: no ND is permitted, so the fix is to SUPPLY the originator name from client/config — never an ND or silent fill. ALSO missing from order."
(structural),record_structure,delivery_structure_deferred,delivery_structure,163282,yes,yes,must_resolve,must_resolve,delivery_xml,high,"RREL/RREC record hierarchy, collateral cardinality and header/pool metadata are still deferred. A MINIMAL flat preview shape (one exposure record per loan, collateral inline, header once) must be DESIGNED before any preview; full nesting/cardinality fidelity is a production task."
RREL6,data_cut_off_date,template_order_incomplete,template_order,ordering,yes,yes,must_resolve,must_resolve,delivery_xml,low,"Data cut-off date — required header metadata, present but missing from esma_code_order::Record. Must be ordered for the preview."
RREC21,sale_price,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Sale price — ordering completeness only; exclude from a minimal preview.
RREC23,guarantor_type,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Guarantor type — ordering completeness only; exclude from a minimal preview.
RREL62,prepayment_fee_end_date,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Prepayment fee end date — ordering only; exclude from a minimal preview.
RREL63,prepayment_date,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Prepayment date — ordering only; exclude from a minimal preview.
RREL64,cumulative_prepayments,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Cumulative prepayments — ordering only; exclude from a minimal preview.
RREL65,date_of_repurchase,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Date of restructuring — ordering only; exclude from a minimal preview.
RREL66,date_last_in_arrears,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Date last in arrears — ordering only; exclude from a minimal preview.
RREL70,reason_for_default_or_foreclosure,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Reason for default/foreclosure — ordering only; exclude from a minimal preview.
RREL72,default_date,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Default date — ordering only; exclude from a minimal preview.
RREL76,recourse,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Recourse — ordering only; ERM recourse is configured (N) but the code must be ordered if included.
RREL78,insurance_or_investment_provider,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Insurance/investment provider — ordering only; exclude from a minimal preview.
RREL79,original_lender_name,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Original lender name — ordering only; exclude from a minimal preview.
RREL80,original_lender_legal_entity_identifier,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Original lender LEI — ordering only; exclude from a minimal preview.
RREL81,original_lender_establishment_country,template_order_incomplete,template_order,ordering,if_included,yes,preview_exclusion,must_resolve,delivery_xml,low,Original lender establishment country — ordering only; exclude from preview.
RREL35,amortisation_type,resolved,resolved_example,1526,no,no,not_required_for_preview,not_required_for_preview,resolved,none,"RESOLVED EXAMPLE: source/internal 'Bullet' -> ERM asset policy 'OTHR' -> delivery-valid. Authoritative regime code list restored + config-driven ERM override. 1,526 rows moved from delivery_invalid to deliverable."
