esma_code,canonical_field,record_group,current_delivery_status,proposed_xml_level,proposed_cardinality,xml_path_known,xml_path,xsd_required,blocks_preview_xml,blocks_production_xml,gap_class,recommended_action,owner,risk_level,notes
RREL16,primary_income,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) PmryOblgrIncm/IncmVal,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'PmryOblgrIncm/IncmVal' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,leaf token hint: PmryOblgrIncm/IncmVal; ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL17,primary_income_type,RREL,mandatory,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,high,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL18,Primary Income Currency,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL19,primary_income_verification,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) PmryOblgrIncm/Vrfctn,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'PmryOblgrIncm/Vrfctn' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,leaf token hint: PmryOblgrIncm/Vrfctn; ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL20,Secondary Income,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,"workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL21,Secondary Income Verification,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,"workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL22,special_scheme,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) SpclSchme/Val,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'SpclSchme/Val' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: SpclSchme/Val; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL23,Origination Date,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL24,Maturity Date,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL25,original_term,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) OrgnlTerm/Nb,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'OrgnlTerm/Nb' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: OrgnlTerm/Nb; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL26,origination_channel,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,"workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL27,purpose,RREL,optional,exposure,one_per_loan,false,(leaf-only) Prps/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'Prps/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,leaf token hint: Prps/Cd; ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL28,Currency Denomination,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules)
RREL29,Original Principal Balance,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,"workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL30,Current Principal Balance,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL31,prior_principal_balances,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) PrrPrncplBal/Val/Amt,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'PrrPrncplBal/Val/Amt' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: PrrPrncplBal/Val/Amt; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL32,pari_passu_underlying_exposures,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) PrpssUndrlygXpsr/Val/Amt,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'PrpssUndrlygXpsr/Val/Amt' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: PrpssUndrlygXpsr/Val/Amt; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL33,Total Credit Limit,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL34,Purchase Price,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL35,amortisation_type,RREL,optional,exposure,one_per_loan,false,(leaf-only) AmrtstnType/Cd,true,false,true,resolved_for_data_not_structure,resolve full XSD path for leaf 'AmrtstnType/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,leaf token hint: AmrtstnType/Cd; delivery-valid for data; XSD path still to be confirmed; ND allowed: ND1-4 (needs NoDataOptn wrapper)
RREL36,Principal Grace Period End Date,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL37,scheduled_principal_payment_frequency,RREL,optional,exposure,one_per_loan,false,(leaf-only) SchdlPrncplPmntFrqnc/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'SchdlPrncplPmntFrqnc/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,leaf token hint: SchdlPrncplPmntFrqnc/Cd; ND allowed: ND5 (needs NoDataOptn wrapper)
RREL38,scheduled_interest_payment_frequency,RREL,optional,exposure,one_per_loan,false,(leaf-only) SchdlIntrstPmntFrqnc/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'SchdlIntrstPmntFrqnc/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,leaf token hint: SchdlIntrstPmntFrqnc/Cd; ND allowed: ND5 (needs NoDataOptn wrapper)
RREL39,Payment Due,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL40,debt_to_income_ratio,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) DebtToIncm/Rate,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'DebtToIncm/Rate' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: DebtToIncm/Rate; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL41,balloon_amount,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) BllnAmt/Val/Amt,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'BllnAmt/Val/Amt' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: BllnAmt/Val/Amt; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL42,interest_rate_type,RREL,optional,exposure,one_per_loan,false,(leaf-only) IntrstRateType/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'IntrstRateType/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,leaf token hint: IntrstRateType/Cd; ND allowed: ND5 (needs NoDataOptn wrapper)
RREL43,Current Interest Rate,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL44,current_interest_rate_index,RREL,optional,exposure,one_per_loan,false,(leaf-only) IntrstRateIndx/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'IntrstRateIndx/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,leaf token hint: IntrstRateIndx/Cd; ND allowed: ND5 (needs NoDataOptn wrapper)
RREL45,current_interest_rate_index_tenor,RREL,optional,exposure,one_per_loan,false,(leaf-only) IntrstRateIndxTenor/Cd,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'IntrstRateIndxTenor/Cd' (intermediate wrappers + ND option),delivery_xml_schema_mapping,medium,leaf token hint: IntrstRateIndxTenor/Cd; ND allowed: ND5 (needs NoDataOptn wrapper)
RREL46,Current Interest Rate Margin,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL47,Interest Rate Reset Interval,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL48,Interest Rate Cap,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL49,Interest Rate Floor,RREL,optional,exposure,one_per_loan,false,,true,false,true,missing_exposure_record_mapping,no XSD path mapped (workbook_semantic TBC/mismapped) — map from XSD sequence,delivery_xml_schema_mapping,medium,workbook_semantic absent (TBC/mismapped in delivery rules); ND allowed: ND5 (needs NoDataOptn wrapper)
RREL50,revision_margin_1,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) FrstRvsnData/Mrgn/Rate,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'FrstRvsnData/Mrgn/Rate' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: FrstRvsnData/Mrgn/Rate; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL51,interest_revision_date_1,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) FrstRvsnData/IntrstRvsnDt/Dt,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'FrstRvsnData/IntrstRvsnDt/Dt' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: FrstRvsnData/IntrstRvsnDt/Dt; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL52,revision_margin_2,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) ScndRvsnData/Mrgn/Rate,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'ScndRvsnData/Mrgn/Rate' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: ScndRvsnData/Mrgn/Rate; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL53,interest_revision_date_2,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) ScndRvsnData/IntrstRvsnDt/Dt,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'ScndRvsnData/IntrstRvsnDt/Dt' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: ScndRvsnData/IntrstRvsnDt/Dt; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL54,revision_margin_3,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) ThrdRvsnData/Mrgn/Rate,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'ThrdRvsnData/Mrgn/Rate' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: ThrdRvsnData/Mrgn/Rate; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
RREL55,interest_revision_date_3,RREL,mandatory,exposure,one_per_loan,false,(leaf-only) ThrdRvsnData/IntrstRvsnDt/Dt,true,false,true,missing_field_xml_path,resolve full XSD path for leaf 'ThrdRvsnData/IntrstRvsnDt/Dt' (intermediate wrappers + ND option),delivery_xml_schema_mapping,high,"leaf token hint: ThrdRvsnData/IntrstRvsnDt/Dt; ND allowed: ND1-4,ND5 (needs NoDataOptn wrapper)"
